Exact Counter:
{'l': 884, 's': 1257, 't': 416, 'o': 833, 'a': 1314, 'r': 878, 'n': 480, 'e': 849, 'c': 879, 'u': 865, 'f': 461, 'd': 420, 'i': 464}
1/16 Counter:
Trials:  10 ; Len:  10000
 Letter	 ExpVal	 ExpVar	ExpStdDev	Mean-AE	Mean-RE	 Max-RE	 Min-RE	 Mean-AcR	 SmallVal	 BigVal	MeanVal	    MAD	 StdDev	 MaxDev	    Var
      t	    416	    ???	      ???	  57.44	  13.8%	  73.1%	   0.0%	    99.2%	     240	    720	  412.6	  57.84	  307.4	  75.53	5.705e+03	
      o	    833	    ???	      ???	  90.88	  10.9%	  34.7%	   0.1%	    99.4%	     544	   1104	  828.3	  90.57	  284.3	  112.3	1.262e+04	
      a	   1314	    ???	      ???	  117.6	   8.9%	  28.2%	   0.2%	    98.3%	     944	   1600	 1291.8	  114.9	  347.8	  143.0	2.045e+04	
      r	    878	    ???	      ???	  83.88	   9.6%	  27.1%	   0.2%	    97.6%	     640	   1104	  857.0	   81.5	  247.0	   99.0	9.801e+03	
      n	    480	    ???	      ???	  72.64	  15.1%	  46.7%	   0.0%	    98.7%	     288	    704	  473.9	   73.0	  230.1	  91.43	8.36e+03	
      e	    849	    ???	      ???	  79.06	   9.3%	  35.7%	   0.1%	    99.7%	     608	   1152	  846.1	  79.27	  305.9	   99.8	9.96e+03	
      c	    879	    ???	      ???	  76.52	   8.7%	  27.4%	   0.1%	   100.1%	     640	   1120	  879.7	  76.49	  240.3	  95.12	9.047e+03	
      u	    865	    ???	      ???	  83.08	   9.6%	  29.5%	   0.1%	   100.3%	     624	   1120	  867.7	  83.19	  252.3	  104.6	1.095e+04	
      f	    461	    ???	      ???	  65.54	  14.2%	  59.7%	   0.7%	   104.5%	     320	    736	  481.8	  63.91	  254.2	  78.09	6.097e+03	
      d	    420	    ???	      ???	  63.36	  15.1%	  42.9%	   1.0%	    98.4%	     240	    576	  413.1	  62.66	  173.1	  74.58	5.562e+03	
      i	    464	    ???	      ???	  62.88	  13.6%	  34.5%	   0.0%	    97.4%	     304	    624	  452.0	  62.88	  172.0	  74.27	5.516e+03	
Trials:  1000 ; Len:  10000
 Letter	 ExpVal	 ExpVar	ExpStdDev	Mean-AE	Mean-RE	 Max-RE	 Min-RE	 Mean-AcR	 SmallVal	 BigVal	MeanVal	    MAD	 StdDev	 MaxDev	    Var
      l	    884	    ???	      ???	  91.34	  10.3%	  43.0%	   0.5%	   100.3%	     512	   1264	  886.6	  91.42	  377.4	  116.3	1.353e+04	
      s	   1257	    ???	      ???	  105.4	   8.4%	  43.8%	   0.6%	   100.4%	     896	   1808	 1261.9	  105.4	  546.1	  131.6	1.732e+04	
      t	    416	    ???	      ???	   64.8	  15.6%	  73.1%	   0.0%	   101.1%	     192	    720	  420.6	   64.9	  299.4	  79.93	6.389e+03	
      o	    833	    ???	      ???	  89.48	  10.7%	  40.2%	   0.1%	    99.6%	     528	   1168	  830.0	  89.45	  338.0	  111.3	1.238e+04	
      a	   1314	    ???	      ???	  109.6	   8.3%	  30.6%	   0.2%	    99.9%	     912	   1712	 1312.6	  109.5	  400.6	  137.0	1.876e+04	
      r	    878	    ???	      ???	  89.46	  10.2%	  47.6%	   0.2%	   100.1%	     512	   1296	  879.2	  89.44	  416.8	  114.2	1.303e+04	
      n	    480	    ???	      ???	  64.83	  13.5%	  63.3%	   0.0%	   100.7%	     272	    784	  483.6	   65.0	  300.4	  81.26	6.604e+03	
      e	    849	    ???	      ???	  89.01	  10.5%	  41.3%	   0.1%	   100.4%	     544	   1200	  852.6	  89.19	  347.4	  111.2	1.236e+04	
      c	    879	    ???	      ???	  93.22	  10.6%	  42.0%	   0.1%	    99.5%	     576	   1248	  874.4	  93.25	  373.6	  114.8	1.319e+04	
      u	    865	    ???	      ???	  88.98	  10.3%	  42.4%	   0.1%	   100.9%	     560	   1232	  872.8	  89.12	  359.2	  111.6	1.246e+04	
      f	    461	    ???	      ???	  64.06	  13.9%	  56.2%	   0.7%	   100.1%	     224	    720	  461.5	  64.04	  258.5	  81.31	6.612e+03	
      d	    420	    ???	      ???	   66.2	  15.8%	  71.4%	   1.0%	    99.0%	     176	    720	  415.7	  65.89	  304.3	  82.77	6.851e+03	
      i	    464	    ???	      ???	  65.12	  14.0%	  55.2%	   0.0%	    99.6%	     240	    720	  462.1	  65.23	  257.9	   81.7	6.675e+03	
Trials:  10000 ; Len:  10000
 Letter	 ExpVal	 ExpVar	ExpStdDev	Mean-AE	Mean-RE	 Max-RE	 Min-RE	 Mean-AcR	 SmallVal	 BigVal	MeanVal	    MAD	 StdDev	 MaxDev	    Var
      l	    884	    ???	      ???	  92.04	  10.4%	  48.4%	   0.5%	   100.1%	     480	   1312	  885.3	   92.1	  426.7	  115.0	1.323e+04	
      s	   1257	    ???	      ???	  110.8	   8.8%	  44.0%	   0.6%	    99.7%	     704	   1776	 1253.7	  110.7	  549.7	  138.4	1.914e+04	
      t	    416	    ???	      ???	   62.5	  15.0%	  76.9%	   0.0%	   100.2%	     160	    736	  416.6	  62.56	  319.4	  78.36	6.14e+03	
      o	    833	    ???	      ???	  87.67	  10.5%	  59.4%	   0.1%	   100.1%	     448	   1328	  834.2	  87.73	  493.8	  109.5	1.2e+04	
      a	   1314	    ???	      ???	  112.1	   8.5%	  43.7%	   0.2%	   100.0%	     816	   1888	 1313.7	  112.1	  574.3	  140.2	1.965e+04	
      r	    878	    ???	      ???	  90.58	  10.3%	  51.3%	   0.2%	    99.9%	     464	   1328	  877.5	   90.6	  450.5	  113.3	1.283e+04	
      n	    480	    ???	      ???	  67.16	  14.0%	  70.0%	   0.0%	    99.8%	     208	    816	  479.0	  67.22	  337.0	  84.18	7.087e+03	
      e	    849	    ???	      ???	  89.14	  10.5%	  52.7%	   0.1%	   100.1%	     480	   1296	  849.4	  89.17	  446.6	  111.6	1.246e+04	
      c	    879	    ???	      ???	  92.28	  10.5%	  58.4%	   0.1%	   100.2%	     464	   1392	  880.9	  92.29	  511.1	  116.1	1.349e+04	
      u	    865	    ???	      ???	   92.3	  10.7%	  48.0%	   0.1%	   100.0%	     480	   1280	  864.9	  92.29	  415.1	  115.7	1.338e+04	
      f	    461	    ???	      ???	  66.96	  14.5%	  73.5%	   0.7%	    99.8%	     192	    800	  459.9	  66.99	  340.1	  83.81	7.024e+03	
      d	    420	    ???	      ???	   62.8	  15.0%	  82.9%	   1.0%	   100.0%	     176	    768	  419.9	   62.8	  348.1	  78.63	6.183e+03	
      i	    464	    ???	      ???	   66.6	  14.4%	  86.2%	   0.0%	   100.1%	     208	    864	  464.4	  66.63	  399.6	  83.72	7.009e+03	
Trials:  100000 ; Len:  10000
 Letter	 ExpVal	 ExpVar	ExpStdDev	Mean-AE	Mean-RE	 Max-RE	 Min-RE	 Mean-AcR	 SmallVal	 BigVal	MeanVal	    MAD	 StdDev	 MaxDev	    Var
      l	    884	    ???	      ???	  91.97	  10.4%	  62.9%	   0.5%	    99.9%	     448	   1440	  883.4	  91.94	  556.6	  115.1	1.325e+04	
      s	   1257	    ???	      ???	  109.6	   8.7%	  48.9%	   0.6%	   100.0%	     720	   1872	 1257.2	  109.6	  614.8	  137.1	1.879e+04	
      t	    416	    ???	      ???	  62.99	  15.1%	 100.0%	   0.0%	    99.9%	     112	    832	  415.7	  63.01	  416.3	  79.23	6.277e+03	
      o	    833	    ???	      ???	  89.49	  10.7%	  61.3%	   0.1%	   100.1%	     384	   1344	  833.7	  89.54	  510.3	  112.3	1.262e+04	
      a	   1314	    ???	      ???	  112.0	   8.5%	  47.3%	   0.2%	   100.0%	     736	   1936	 1313.6	  112.0	  622.4	  140.3	1.969e+04	
      r	    878	    ???	      ???	  91.29	  10.4%	  62.2%	   0.2%	   100.0%	     464	   1424	  878.0	  91.29	  546.0	  114.6	1.314e+04	
      n	    480	    ???	      ???	  67.46	  14.1%	  90.0%	   0.0%	   100.0%	     160	    912	  480.1	  67.46	  431.9	  84.79	7.189e+03	
      e	    849	    ???	      ???	  89.71	  10.6%	  65.8%	   0.1%	   100.0%	     400	   1408	  849.1	  89.71	  558.9	  112.7	1.27e+04	
      c	    879	    ???	      ???	  91.25	  10.4%	  56.5%	   0.1%	   100.0%	     400	   1376	  879.1	  91.25	  496.9	  114.6	1.313e+04	
      u	    865	    ???	      ???	  90.64	  10.5%	  64.6%	   0.1%	   100.0%	     416	   1424	  865.4	  90.67	  558.6	  113.8	1.296e+04	
      f	    461	    ???	      ???	  66.56	  14.4%	  80.5%	   0.7%	   100.1%	     144	    832	  461.4	  66.55	  370.6	  83.45	6.964e+03	
      d	    420	    ???	      ???	  63.22	  15.1%	  90.5%	   1.0%	   100.1%	     144	    800	  420.3	  63.24	  379.7	  79.15	6.265e+03	
      i	    464	    ???	      ???	  66.49	  14.3%	  82.8%	   0.0%	   100.0%	     160	    848	  463.8	   66.5	  384.2	  83.51	6.975e+03	
Trials:  1000000 ; Len:  10000
 Letter	 ExpVal	 ExpVar	ExpStdDev	Mean-AE	Mean-RE	 Max-RE	 Min-RE	 Mean-AcR	 SmallVal	 BigVal	MeanVal	    MAD	 StdDev	 MaxDev	    Var
      l	    884	    ???	      ???	  91.85	  10.4%	  86.4%	   0.5%	   100.0%	     384	   1648	  883.9	  91.85	  764.1	  115.1	1.325e+04	
      s	   1257	    ???	      ???	  109.6	   8.7%	  54.0%	   0.6%	   100.0%	     624	   1936	 1257.2	  109.6	  678.8	  137.2	1.883e+04	
      t	    416	    ???	      ???	  62.88	  15.1%	 100.0%	   0.0%	   100.0%	      96	    832	  416.0	  62.88	  416.0	  79.06	6.251e+03	
      o	    833	    ???	      ???	  89.17	  10.7%	  67.1%	   0.1%	   100.0%	     320	   1392	  833.0	  89.17	  559.0	  111.8	1.251e+04	
      a	   1314	    ???	      ???	  112.0	   8.5%	  53.4%	   0.2%	   100.0%	     672	   2016	 1314.0	  112.0	  702.0	  140.5	1.973e+04	
      r	    878	    ???	      ???	  91.55	  10.4%	  69.5%	   0.2%	   100.0%	     384	   1488	  878.0	  91.55	  610.0	  114.8	1.319e+04	
      n	    480	    ???	      ???	  67.54	  14.1%	 110.0%	   0.0%	   100.0%	     112	   1008	  480.0	  67.54	  528.0	  84.88	7.204e+03	
      e	    849	    ???	      ???	  90.05	  10.6%	  65.8%	   0.1%	   100.0%	     368	   1408	  849.2	  90.07	  558.8	  113.0	1.276e+04	
      c	    879	    ???	      ???	  91.64	  10.4%	  72.9%	   0.1%	   100.0%	     384	   1520	  879.0	  91.64	  641.0	  114.9	1.32e+04	
      u	    865	    ???	      ???	  90.85	  10.5%	  70.2%	   0.1%	   100.0%	     400	   1472	  865.0	  90.85	  607.0	  114.0	1.299e+04	
      f	    461	    ???	      ???	  66.33	  14.4%	  94.4%	   0.7%	   100.0%	     144	    896	  461.1	  66.33	  434.9	  83.08	6.903e+03	
      d	    420	    ???	      ???	  63.28	  15.1%	  98.1%	   1.0%	   100.0%	      80	    832	  420.0	  63.28	  412.0	  79.28	6.285e+03	
      i	    464	    ???	      ???	  66.35	  14.3%	 100.0%	   0.0%	   100.0%	     128	    928	  464.0	  66.36	  464.0	  83.42	6.958e+03	
