Exact Counter:
{'s': 2, 'o': 1, 't': 1, 'a': 1, 'l': 1, 'c': 1, 'r': 1, 'e': 1, 'i': 1}
1/16 Counter:
Trials:  10 ; Len:  10
 Letter	 ExpVal	 ExpVar	ExpStdDev	Mean-AE	Mean-RE	 Max-RE	 Min-RE	 Mean-AcR	 SmallVal	 BigVal	MeanVal	    MAD	 StdDev	 MaxDev	    Var
      o	      1	    ???	      ???	  1.848	 184.8%	1500.0%	 100.0%	    97.0%	       0	     16	    1.0	  1.822	  15.03	  3.818	  14.57	
      t	      1	    ???	      ???	  1.892	 189.2%	1500.0%	 100.0%	   101.9%	       0	     16	    1.0	  1.909	  14.98	  3.907	  15.27	
      a	      1	    ???	      ???	   1.89	 189.0%	1500.0%	 100.0%	   101.8%	       0	     16	    1.0	  1.906	  14.98	  3.905	  15.25	
      l	      1	    ???	      ???	  1.825	 182.5%	1500.0%	 100.0%	    94.2%	       0	     16	    0.9	  1.774	  15.06	  3.767	  14.19	
      c	      1	    ???	      ???	  1.924	 192.4%	1500.0%	 100.0%	   105.6%	       0	     16	    1.1	  1.973	  14.94	  3.973	  15.78	
      r	      1	    ???	      ???	  1.909	 190.9%	1500.0%	 100.0%	   103.8%	       0	     16	    1.0	  1.942	  14.96	  3.942	  15.54	
      e	      1	    ???	      ???	  1.836	 183.6%	1500.0%	 100.0%	    95.5%	       0	     16	    1.0	  1.796	  15.04	  3.791	  14.37	
      i	      1	    ???	      ???	  1.827	 182.7%	1500.0%	 100.0%	    94.6%	       0	     16	    0.9	  1.779	  15.05	  3.773	  14.24	
Trials:  100000 ; Len:  10
 Letter	 ExpVal	 ExpVar	ExpStdDev	Mean-AE	Mean-RE	 Max-RE	 Min-RE	 Mean-AcR	 SmallVal	 BigVal	MeanVal	    MAD	 StdDev	 MaxDev	    Var
      s	      2	    ???	      ???	  3.525	 176.2%	1500.0%	 100.0%	   100.6%	       0	     32	    2.0	  3.533	  29.99	    5.5	  30.25	
      o	      1	    ???	      ???	  1.871	 187.1%	1500.0%	 100.0%	    99.5%	       0	     16	    1.0	  1.866	   15.0	  3.864	  14.93	
      t	      1	    ???	      ???	  1.865	 186.5%	1500.0%	 100.0%	    98.9%	       0	     16	    1.0	  1.856	  15.01	  3.853	  14.85	
      a	      1	    ???	      ???	  1.882	 188.2%	1500.0%	 100.0%	   100.8%	       0	     16	    1.0	  1.889	  14.99	  3.888	  15.11	
      l	      1	    ???	      ???	  1.869	 186.9%	1500.0%	 100.0%	    99.3%	       0	     16	    1.0	  1.862	  15.01	   3.86	   14.9	
      c	      1	    ???	      ???	  1.875	 187.5%	1500.0%	 100.0%	   100.0%	       0	     16	    1.0	  1.876	   15.0	  3.874	  15.01	
      r	      1	    ???	      ???	  1.874	 187.4%	1500.0%	 100.0%	    99.9%	       0	     16	    1.0	  1.874	   15.0	  3.872	  14.99	
      e	      1	    ???	      ???	  1.879	 187.9%	1500.0%	 100.0%	   100.5%	       0	     16	    1.0	  1.884	  14.99	  3.882	  15.07	
      i	      1	    ???	      ???	  1.887	 188.7%	1500.0%	 100.0%	   101.4%	       0	     16	    1.0	    1.9	  14.99	  3.899	   15.2	
Trials:  1000000 ; Len:  10
 Letter	 ExpVal	 ExpVar	ExpStdDev	Mean-AE	Mean-RE	 Max-RE	 Min-RE	 Mean-AcR	 SmallVal	 BigVal	MeanVal	    MAD	 StdDev	 MaxDev	    Var
      s	      2	    ???	      ???	  3.516	 175.8%	1500.0%	 100.0%	   100.0%	       0	     32	    2.0	  3.515	   30.0	  5.478	   30.0	
      o	      1	    ???	      ???	   1.88	 188.0%	1500.0%	 100.0%	   100.6%	       0	     16	    1.0	  1.885	  14.99	  3.883	  15.08	
      t	      1	    ???	      ???	  1.874	 187.4%	1500.0%	 100.0%	    99.9%	       0	     16	    1.0	  1.873	   15.0	  3.871	  14.99	
      a	      1	    ???	      ???	  1.874	 187.4%	1500.0%	 100.0%	    99.9%	       0	     16	    1.0	  1.874	   15.0	  3.872	  14.99	
      l	      1	    ???	      ???	  1.876	 187.6%	1500.0%	 100.0%	   100.1%	       0	     16	    1.0	  1.876	   15.0	  3.874	  15.01	
      c	      1	    ???	      ???	   1.87	 187.0%	1500.0%	 100.0%	    99.5%	       0	     16	    1.0	  1.866	  15.01	  3.864	  14.93	
      r	      1	    ???	      ???	  1.868	 186.8%	1500.0%	 100.0%	    99.2%	       0	     16	    1.0	   1.86	  15.01	  3.858	  14.88	
      e	      1	    ???	      ???	  1.875	 187.5%	1500.0%	 100.0%	   100.0%	       0	     16	    1.0	  1.875	   15.0	  3.873	   15.0	
      i	      1	    ???	      ???	  1.876	 187.6%	1500.0%	 100.0%	   100.1%	       0	     16	    1.0	  1.877	   15.0	  3.875	  15.01	
